,activation_type,min_proportion,Run,Active,Average Jailing Term,Jailed,Quiescent,width,height,citizen_density,cop_density,citizen_vision,cop_vision,legitimacy,max_jail_term,active_threshold,arrest_prob_constant,movement,max_iters
66,linear,0.6,66,224,10.642857142857142,812,101,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
67,linear,0.6,67,217,10.376111817026684,787,125,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
68,linear,0.6,68,379,10.38345864661654,665,61,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
69,linear,0.6,69,478,10.882725832012678,631,50,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
70,linear,0.7,70,509,10.854419410745233,577,56,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
71,linear,0.7,71,400,10.139103554868624,647,82,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
72,linear,0.7,72,456,10.64937106918239,636,56,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
73,linear,0.7,73,414,10.004566210045661,657,62,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
74,linear,0.7,74,511,10.075043630017452,573,48,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
75,linear,0.7,75,404,10.962382445141065,638,55,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
76,linear,0.7,76,449,10.528571428571428,630,44,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
77,linear,0.7,77,440,10.504731861198739,634,72,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
78,linear,0.7,78,295,10.538775510204081,735,88,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
79,linear,0.7,79,223,10.587239583333334,768,113,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
80,linear,0.7999999999999999,80,449,11.336012861736334,622,76,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
81,linear,0.7999999999999999,81,415,10.78201219512195,656,93,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
82,linear,0.7999999999999999,82,239,10.727034120734908,762,127,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
83,linear,0.7999999999999999,83,638,12.593073593073592,231,294,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
84,linear,0.7999999999999999,84,362,10.563920454545455,704,98,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
85,linear,0.7999999999999999,85,365,10.5453216374269,684,92,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
86,linear,0.7999999999999999,86,220,10.70817120622568,771,150,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
87,linear,0.7999999999999999,87,395,10.56203288490284,669,66,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
88,linear,0.7999999999999999,88,427,9.984326018808778,638,69,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
89,linear,0.7999999999999999,89,346,11.473071324599708,687,69,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
90,linear,0.8999999999999999,90,645,12.75,436,42,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
91,linear,0.8999999999999999,91,381,10.524886877828054,663,89,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
92,linear,0.8999999999999999,92,474,10.280645161290323,620,68,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
93,linear,0.8999999999999999,93,452,10.522240527182866,607,80,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
94,linear,0.8999999999999999,94,356,10.082717872968981,677,88,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
95,linear,0.8999999999999999,95,427,11.434514637904469,649,57,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
96,linear,0.8999999999999999,96,246,10.282548476454293,722,150,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
97,linear,0.8999999999999999,97,554,11.17658349328215,521,53,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
98,linear,0.8999999999999999,98,574,11.247524752475247,505,51,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
99,linear,0.8999999999999999,99,331,10.77716643741403,727,84,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
100,quadratic,0.5,100,305,10.588390501319262,758,52,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
101,quadratic,0.5,101,399,10.422594142259415,717,52,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
102,quadratic,0.5,102,145,10.844587352625938,933,80,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
103,quadratic,0.5,103,372,10.472418670438472,707,51,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
104,quadratic,0.5,104,280,10.78960396039604,808,48,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
105,quadratic,0.5,105,485,10.59141494435612,629,47,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
106,quadratic,0.5,106,388,10.163352272727273,704,49,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
107,quadratic,0.5,107,466,9.7758346581876,629,37,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
108,quadratic,0.5,108,326,10.299065420560748,749,48,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
109,quadratic,0.5,109,285,10.174418604651162,774,55,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
110,quadratic,0.6,110,232,10.646489104116222,826,70,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
111,quadratic,0.6,111,516,10.509181969949916,599,35,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
112,quadratic,0.6,112,326,10.364973262032086,748,67,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
113,quadratic,0.6,113,641,9.84763948497854,466,31,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
114,quadratic,0.6,114,373,10.527616279069768,688,68,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
115,quadratic,0.6,115,508,10.759316770186336,644,38,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
116,quadratic,0.6,116,469,10.776337115072934,617,43,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
117,quadratic,0.6,117,403,10.372262773722628,685,47,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
118,quadratic,0.6,118,3,8.682070240295749,541,586,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
